character_id,raw_character_text
578.0,Prosecuting Attorney
579.0,Joe
580.0,Neil
581.0,Calm Woman
582.0,Mr. Devereaux
583.0,Margarita
584.0,Program Voices
585.0,Instructor
586.0,Female Worker
587.0,Male Worker
588.0,Contestant
589.0,Magic Johnson
590.0,Aristotle
591.0,Luann Van Houten
592.0,Thought Bubble Barney
593.0,Female Voice
594.0,SCOTT
595.0,Miss Lois Pennycandy
596.0,Sexy Female Recording
597.0,PENNYCANDY
598.0,Rabbi Hyman Krustofsky
600.0,Rabbi #1
601.0,Rowdy Rabbi
602.0,Martian
603.0,D.J.
604.0,Caller
605.0,MONSIGNOR DALEY
606.0,Yiddle
607.0,Rabbi #2
608.0,Waitress
609.0,Stagehand
610.0,Airport Announcer
611.0,Customs Agent
613.0,English Diplomat
614.0,Argentine Diplomat
615.0,Colonel
616.0,Female Office Worker
617.0,Male Office Worker
618.0,Townspeople
619.0,Patrons
620.0,Vin Scully
621.0,Kids In Audience
622.0,DR MONROE
623.0,Crypt Keeper Willie
624.0,Robot
626.0,Lunchlady Doris
627.0,Little Man
628.0,Teenager
630.0,Baby Lisa
631.0,Salesclerk
632.0,Millicent
633.0,Female Clerk
634.0,Kevin
635.0,Johnny Carson
636.0,Scoey
637.0,Teenage Clerk
638.0,Football Announcer
639.0,DAVE JR.
640.0,Official
641.0,Voice From Trunk
642.0,Ronnie
643.0,DREDERICK
644.0,Wanda
645.0,Becky
646.0,Girls
647.0,Patron #1
648.0,Patron #2
649.0,Collette
650.0,HARV
651.0,Bernard
652.0,Aide
653.0,Aerosmith
654.0,Steven Tyler
655.0,Joe Perry
656.0,Brad Whitford
657.0,HUGH
658.0,Everyone
659.0,Bartender
660.0,One-eyed Bartender
661.0,Flowers
662.0,Tom Hamilton
663.0,Joey Kramer
664.0,Snappy
665.0,Broker
666.0,Hans
667.0,Fritz
668.0,Charlie
669.0,Horst
670.0,German Teacher
671.0,Boxer
672.0,Mr. Thorson
673.0,Angel
674.0,Patient
675.0,Justice Of The Peace
676.0,Groom
677.0,Applicant #1
678.0,Applicant #2
679.0,Applicants
680.0,Tourist Kid
681.0,Tourist Dad
682.0,Boss
683.0,Elderly Lady
684.0,Repo Man
685.0,Driver
686.0,M.C.
687.0,Boy
688.0,Operator
689.0,Barber
690.0,Rosarita
691.0,Weasel
692.0,Robot Weasel
693.0,Señor Beaver-otti
694.0,Robot Animals
695.0,Fat Cop
696.0,Falcon Man
697.0,Sailor
698.0,Sting
699.0,Sideshow Mel
700.0,Choir
701.0,Souvenir Hawker
702.0,Station Announcer
703.0,Old Lady #1
704.0,Bret
705.0,JIMMY
706.0,Sportscaster
707.0,Coach
708.0,Football Announcer #2
709.0,Player
710.0,Marco
711.0,Box
712.0,Nutty Comedian
713.0,Alien
714.0,Duff Announcer
715.0,Nick
716.0,Nick #2
717.0,Commercial Guy
718.0,Man On Phone
719.0,Bus Driver
720.0,Policewoman
721.0,Different Announcer
722.0,Chef Rodrigo
723.0,Gregory
724.0,FABRIZIO
725.0,Woman On Tv #1
726.0,Woman On Tv #2
727.0,Teenage Boy
728.0,CHIF WIGGUM
729.0,Service Manager
730.0,Ted
731.0,Sound-alikes
732.0,Mister Amazing
733.0,Sparkle
734.0,Romantic Lover Voice
735.0,Southern Private
736.0,Charles Boyer
737.0,Umpire
738.0,Dispatcher
739.0,ARI
740.0,Jose Canseco
741.0,Mike Scioscia
742.0,Tour Guide
743.0,Ozzie Smith
744.0,Don Mattingly
745.0,Steve Sax
746.0,Roger Clemens
747.0,Wade Boggs
748.0,KEN GRIFFEY JR.
749.0,Darryl Strawberry
750.0,Hypnotist
751.0,ALL THE PLAYERS
752.0,JOSE CONSECO
753.0,Ticket Taker
754.0,Courier
756.0,FORTE
757.0,Donna
758.0,Tammy
759.0,PRINCIPAL WILLIE
760.0,Prosecutor
761.0,Steve Allen
762.0,Mr. Montone
763.0,Former Teacher
764.0,Teacher #1
765.0,Teacher #2
766.0,Hippie Teacher
767.0,Employee
770.0,Sanjay Nahasapeemapetilon
771.0,Lottery Announcer
772.0,Vet
773.0,Mr. Danielson
774.0,God
775.0,Sadistic Barfly
776.0,Young Barfly
777.0,Trainee
778.0,Butler
779.0,Ticket Man
780.0,General
781.0,Cowboy #1
782.0,Cowboy #2
783.0,Bar Owner
784.0,Yodelin' Zeke
785.0,Lurleen Lumpkin
786.0,Male Nurse
787.0,Music Store Owner
788.0,Mr. Boylan
789.0,Mule
790.0,Young Girl
791.0,Pretty Girl
792.0,Orville
793.0,Hurley
796.0,Cellmate #1
798.0,Crooner
799.0,MacGyver
800.0,T-shirt Guy
801.0,Comic Book Guy
802.0,David
803.0,Nigel Bakerbutcher
804.0,DEREK
805.0,Roadie
806.0,Stoned Guy
807.0,Promoter
808.0,DAVIDNIGEL
809.0,DAVIDNIGELDEREK
810.0,Landlord
811.0,Samantha Stanky
812.0,Grave Digger
813.0,Crane Operator
814.0,Worker #1
815.0,Worker #2
816.0,Mr. Stanky
817.0,Kirk Van Houten
818.0,Nun
819.0,NUN #2
820.0,Bum
821.0,WILLIAM POWEL LOOKALIKE
822.0,Bum #2
823.0,Nbc Anchorman
824.0,Jittery Private
825.0,Angry Sergeant
827.0,Female Singers
828.0,Smokin' Joe Frazier
829.0,Herb Powell
830.0,Mom
831.0,Teachers
832.0,Mr. Black
833.0,Sergeant
834.0,Campers
835.0,Line Judge
836.0,Stablehand
837.0,Little Boy #1
838.0,Queen Elizabeth II
839.0,Yoga Instructor
840.0,HOMER'S THOUGHT
841.0,Contestants
842.0,Mr. Bozwell
843.0,DEBORAH JO SMALLWOOD
844.0,Llewellyn Sinclair
845.0,Auditioning Woman #1
846.0,Auditioning Woman #2
847.0,Auditioning Woman #3
848.0,Ms. Sinclair
849.0,Video Game Voice
850.0,Company
851.0,Actress
852.0,Male Parishoner
853.0,Stooge #1
854.0,Stooge #2
855.0,Boring Guy
856.0,Commentator
857.0,Abraham Lincoln
858.0,Flanders Family
859.0,Jamshed
860.0,Insurance Agent
861.0,Barker
862.0,Booth Man
863.0,Caricaturist
864.0,Small Voice
865.0,Tv Father
866.0,Tv Daughter
867.0,Bitsy
868.0,Ramona
869.0,Owner
870.0,Ice Cream Lady
871.0,Amber Dempsey
872.0,Pahasatira
873.0,Judges
874.0,Museum Worker
875.0,Show Announcer
876.0,Bob Hope
877.0,Advance Man
878.0,Soldier #1
879.0,Soldier #2
880.0,Santa Claus
881.0,Nerd #1
882.0,Nerd #2
883.0,Football Player
884.0,Shopkeeper
885.0,Gangster
886.0,Repairman
887.0,Sailor #1
888.0,Sailor #2
889.0,Natives
890.0,'30s Reporter
891.0,Girl Star
892.0,Co-pilot
894.0,Faces
895.0,Zombies
896.0,Skinner Zombie
897.0,Zombie Krusty
898.0,Zombie Flanders
900.0,Zombie Shakespeare
901.0,Lisa Snail
902.0,Zombie
903.0,Pilgrim Zombie
904.0,Cowboy Zombie
906.0,Chief Engineer
907.0,Rowdy Woman
908.0,Bumblebee Man
909.0,Astronaut
910.0,Booth Attendant
911.0,MCCLURE
912.0,Contractor
913.0,Headless Brakeman
914.0,Marley
915.0,Donut Man
916.0,Tom Jones
917.0,Animal Handler
918.0,HOMER)
920.0,Price
921.0,Laura Powers
923.0,Squeaky-Voiced Teen
924.0,Mrs. Powers
